,first_touch,last_touch,linear,time_decay,position_based,data_driven
Display,6132.0,1003.0,4004.1500000001556,2153.12075803404,3789.4333333333016,4885.7458638499675
Email,5715.0,6252.0,5912.366666666399,6111.235128371728,5948.799999999662,5870.582800810731
Paid Search,6958.0,12223.0,9135.133333333117,11053.689766929447,9359.066666665918,8347.735317101218
Paid Social,8327.0,7959.0,8195.716666665896,8040.672658418512,8170.0666666658435,7780.509602562105
Referral,2928.0,3120.0,3012.7166666667003,3080.191851157371,3018.300000000048,3230.5368693606833
SEO,5776.0,5279.0,5575.916666666461,5397.089837088913,5550.333333333064,5720.889546315295
